id,name,slug,description,dosage,category,baseCost,shippingCost,markupAmount,salePrice,inStock,stockQuantity,supplierId,supplierProductCode,imageUrl,imageAltText,metaTitle,metaDescription,isActive,createdAt,updatedAt
15,BPC-157 5mg,bpc-157-5mg,Body protection compound peptide for tissue research. Kit of 10 vials. Research use only.,5mg per vial,Healing Peptides,41.00,65.00,53.00,159.00,true,50,1,null,null,null,BPC-157 5mg - Research Peptide Kit,High-quality BPC-157 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.361,2025-09-29 07:18:23.361
16,BPC-157 10mg,bpc-157-10mg,Body protection compound peptide for tissue research. Kit of 10 vials. Research use only.,10mg per vial,Healing Peptides,68.00,65.00,67.00,200.00,true,50,1,null,null,null,BPC-157 10mg - Research Peptide Kit,High-quality BPC-157 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.464,2025-09-29 07:18:23.464
17,TB-500 2mg,tb-500-2mg,Thymosin Beta-4 fragment for cellular research. Kit of 10 vials. Research use only.,2mg per vial,Healing Peptides,49.00,65.00,57.00,171.00,true,50,1,null,null,null,TB-500 2mg - Research Peptide Kit,High-quality TB-500 2mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.585,2025-09-29 07:18:23.585
18,TB-500 5mg,tb-500-5mg,Thymosin Beta-4 fragment for cellular research. Kit of 10 vials. Research use only.,5mg per vial,Healing Peptides,95.00,65.00,80.00,240.00,true,50,1,null,null,null,TB-500 5mg - Research Peptide Kit,High-quality TB-500 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.677,2025-09-29 07:18:23.677
19,TB-500 10mg,tb-500-10mg,Thymosin Beta-4 fragment for cellular research. Kit of 10 vials. Research use only.,10mg per vial,Healing Peptides,176.00,65.00,121.00,362.00,true,50,1,null,null,null,TB-500 10mg - Research Peptide Kit,High-quality TB-500 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.77,2025-09-29 07:18:23.77
20,BPC + TB-500 Blend 10mg,bpc-tb-blend-10mg,Combined BPC-157 and TB-500 for comprehensive tissue research. Kit of 10 vials. Research use only.,10mg per vial,Healing Peptides,122.00,65.00,94.00,281.00,true,50,1,null,null,null,BPC + TB-500 Blend 10mg - Research Peptide Kit,High-quality BPC + TB-500 Blend 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.873,2025-09-29 07:18:23.873
21,CJC-1295 No DAC 2mg,cjc-1295-no-dac-2mg,Growth hormone releasing hormone analog for research. Kit of 10 vials. Research use only.,2mg per vial,Growth Hormones,41.00,65.00,53.00,159.00,true,50,1,null,null,null,CJC-1295 No DAC 2mg - Research Peptide Kit,High-quality CJC-1295 No DAC 2mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.976,2025-09-29 07:18:23.976
22,CJC-1295 No DAC 5mg,cjc-1295-no-dac-5mg,Growth hormone releasing hormone analog for research. Kit of 10 vials. Research use only.,5mg per vial,Growth Hormones,95.00,65.00,80.00,240.00,true,50,1,null,null,null,CJC-1295 No DAC 5mg - Research Peptide Kit,High-quality CJC-1295 No DAC 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.077,2025-09-29 07:18:24.077
23,CJC-1295 No DAC 10mg,cjc-1295-no-dac-10mg,Growth hormone releasing hormone analog for research. Kit of 10 vials. Research use only.,10mg per vial,Growth Hormones,185.00,65.00,125.00,375.00,true,50,1,null,null,null,CJC-1295 No DAC 10mg - Research Peptide Kit,High-quality CJC-1295 No DAC 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.195,2025-09-29 07:18:24.195
6,Tirzepatide 5mg,tirzepatide-5mg,Dual GIP/GLP-1 receptor agonist for advanced metabolic studies. Kit of 10 vials. Research use only.,5mg per vial,GLP-1 Agonists,43.00,65.00,54.00,162.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/tirz_urtfuv,null,Tirzepatide 5mg - Research Peptide Kit,High-quality Tirzepatide 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.441,2025-09-29 07:50:58.845
7,Tirzepatide 10mg,tirzepatide-10mg,Dual GIP/GLP-1 receptor agonist for advanced metabolic studies. Kit of 10 vials. Research use only.,10mg per vial,GLP-1 Agonists,63.00,65.00,64.00,192.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/tirz_urtfuv,null,Tirzepatide 10mg - Research Peptide Kit,High-quality Tirzepatide 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.543,2025-09-29 07:50:58.845
8,Tirzepatide 15mg,tirzepatide-15mg,Dual GIP/GLP-1 receptor agonist for advanced metabolic studies. Kit of 10 vials. Research use only.,15mg per vial,GLP-1 Agonists,80.00,65.00,73.00,218.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/tirz_urtfuv,null,Tirzepatide 15mg - Research Peptide Kit,High-quality Tirzepatide 15mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.647,2025-09-29 07:50:58.845
9,Tirzepatide 20mg,tirzepatide-20mg,Dual GIP/GLP-1 receptor agonist for advanced metabolic studies. Kit of 10 vials. Research use only.,20mg per vial,GLP-1 Agonists,94.00,65.00,80.00,239.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/tirz_urtfuv,null,Tirzepatide 20mg - Research Peptide Kit,High-quality Tirzepatide 20mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.761,2025-09-29 07:50:58.845
11,Retatrutide 5mg,retatrutide-5mg,Triple receptor agonist for advanced metabolic research. Kit of 10 vials. Research use only.,5mg per vial,GLP-1 Agonists,73.00,65.00,69.00,207.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/reta_rrethg,null,Retatrutide 5mg - Research Peptide Kit,High-quality Retatrutide 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:22.952,2025-09-29 07:50:59.151
12,Retatrutide 10mg,retatrutide-10mg,Triple receptor agonist for advanced metabolic research. Kit of 10 vials. Research use only.,10mg per vial,GLP-1 Agonists,109.00,65.00,87.00,261.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/reta_rrethg,null,Retatrutide 10mg - Research Peptide Kit,High-quality Retatrutide 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.069,2025-09-29 07:50:59.151
13,Retatrutide 15mg,retatrutide-15mg,Triple receptor agonist for advanced metabolic research. Kit of 10 vials. Research use only.,15mg per vial,GLP-1 Agonists,122.00,65.00,94.00,281.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/reta_rrethg,null,Retatrutide 15mg - Research Peptide Kit,High-quality Retatrutide 15mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.156,2025-09-29 07:50:59.151
14,Retatrutide 20mg,retatrutide-20mg,Triple receptor agonist for advanced metabolic research. Kit of 10 vials. Research use only.,20mg per vial,GLP-1 Agonists,136.00,65.00,101.00,302.00,true,50,1,null,https://res.cloudinary.com/ds42miizn/image/upload/reta_rrethg,null,Retatrutide 20mg - Research Peptide Kit,High-quality Retatrutide 20mg research peptide kit of 10 vials,true,2025-09-29 07:18:23.259,2025-09-29 07:50:59.151
24,Ipamorelin 2mg,ipamorelin-2mg,Growth hormone secretagogue for research applications. Kit of 10 vials. Research use only.,2mg per vial,Growth Hormones,22.00,65.00,44.00,131.00,true,50,1,null,null,null,Ipamorelin 2mg - Research Peptide Kit,High-quality Ipamorelin 2mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.297,2025-09-29 07:18:24.297
25,Ipamorelin 5mg,ipamorelin-5mg,Growth hormone secretagogue for research applications. Kit of 10 vials. Research use only.,5mg per vial,Growth Hormones,41.00,65.00,53.00,159.00,true,50,1,null,null,null,Ipamorelin 5mg - Research Peptide Kit,High-quality Ipamorelin 5mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.385,2025-09-29 07:18:24.385
26,Ipamorelin 10mg,ipamorelin-10mg,Growth hormone secretagogue for research applications. Kit of 10 vials. Research use only.,10mg per vial,Growth Hormones,81.00,65.00,73.00,219.00,true,50,1,null,null,null,Ipamorelin 10mg - Research Peptide Kit,High-quality Ipamorelin 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.502,2025-09-29 07:18:24.502
27,Epithalon 10mg,epithalon-10mg,Telomerase activator for longevity research. Kit of 10 vials. Research use only.,10mg per vial,Anti-Aging,38.00,65.00,52.00,155.00,true,50,1,null,null,null,Epithalon 10mg - Research Peptide Kit,High-quality Epithalon 10mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.589,2025-09-29 07:18:24.589
28,Epithalon 50mg,epithalon-50mg,Telomerase activator for longevity research. Kit of 10 vials. Research use only.,50mg per vial,Anti-Aging,176.00,65.00,121.00,362.00,true,50,1,null,null,null,Epithalon 50mg - Research Peptide Kit,High-quality Epithalon 50mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.692,2025-09-29 07:18:24.692
29,NAD+ 100mg,nad-100mg,Cellular energy and anti-aging research compound. Kit of 10 vials. Research use only.,100mg per vial,Anti-Aging,54.00,65.00,60.00,179.00,true,50,1,null,null,null,NAD+ 100mg - Research Peptide Kit,High-quality NAD+ 100mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.795,2025-09-29 07:18:24.795
30,NAD+ 500mg,nad-500mg,Cellular energy and anti-aging research compound. Kit of 10 vials. Research use only.,500mg per vial,Anti-Aging,95.00,65.00,80.00,240.00,true,50,1,null,null,null,NAD+ 500mg - Research Peptide Kit,High-quality NAD+ 500mg research peptide kit of 10 vials,true,2025-09-29 07:18:24.913,2025-09-29 07:18:24.913
